Id, Ts, Ts_act, P_act(6), J_act(6), mts, ack, mutex1, mutex2, mutex3, cmd_id, cmd_ts, cmd_params(10), process(24), cmd_status(4)
9974, 1758.89, 0, 110.925, 333.621, 225.433, -0.00327418, 0.00957141, -0.00121788, 1.87899, 0.326276, 0.442205, 3.59175e-05, 0.802498, 0.308252, 0, 1758.81, 0, 0, 0, 123, 1758.82,0,7,1758.81,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.533,36,36,0,7,1758.81,1,2
9975, 1758.91, 0, 110.913, 333.614, 223.6, -0.00409044, 0.0117719, -0.00139172, 1.87899, 0.329637, 0.444022, 3.3411e-05, 0.797361, 0.308252, 0, 1758.81, 0, 0, 0, 123, 1758.82,0,7,1758.81,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.533,36,36,0,7,1758.81,1,2
9976, 1758.92, 0, 110.925, 333.62, 221.801, -0.00346127, 0.00977347, -0.00113215, 1.87899, 0.332947, 0.445792, 3.3411e-05, 0.792245, 0.308252, 0, 1758.81, 0, 0, 0, 123, 1758.82,0,7,1758.81,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.533,36,36,0,7,1758.81,1,2
9977, 1758.93, 0, 110.944, 333.625, 219.993, -0.00288246, 0.00759768, -0.00103758, 1.87899, 0.336311, 0.447527, 3.09045e-05, 0.787106, 0.308252, 0, 1758.81, 0, 0, 0, 123, 1758.82,0,7,1758.81,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.533,36,36,0,7,1758.81,1,2
9978, 1758.94, 0, 110.968, 333.613, 218.22, -0.00125368, 0.00362899, -0.00446707, 1.87894, 0.339597, 0.449252, 3.96773e-05, 0.782021, 0.308252, 0, 1758.81, 0, 0, 0, 123, 1758.82,0,7,1758.81,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.533,36,36,0,7,1758.81,1,2
9979, 1758.95, 0, 111.061, 333.614, 216.676, 0.00455703, -0.0128175, -0.00970249, 1.87886, 0.342422, 0.450808, 5.34631e-05, 0.777335, 0.308252, 0, 1758.81, 0, 0, 0, 123, 1758.82,0,7,1758.81,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.533,36,36,0,7,1758.81,1,2
9980, 1758.97, 0, 111.124, 333.621, 215.582, 0.00741391, -0.023633, -0.0104159, 1.87884, 0.344449, 0.451876, 3.96773e-05, 0.774045, 0.308252, 0, 1758.81, 0, 0, 0, 123, 1758.82,0,7,1758.81,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.533,36,36,0,7,1758.81,1,2
9981, 1758.98, 0, 111.156, 333.642, 215.138, 0.00930609, -0.0300785, -0.00850924, 1.87887, 0.345268, 0.452319, 3.59175e-05, 0.772666, 0.308252, 0, 1758.81, 0, 0, 0, 123, 1758.82,0,7,1758.81,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.533,36,36,0,7,1758.81,1,2
9982, 1758.99, 0, 111.212, 333.654, 215.546, 0.0117268, -0.0360206, -0.0103405, 1.87884, 0.344522, 0.451903, 4.84501e-05, 0.773717, 0.308252, 0, 1758.81, 0, 0, 0, 123, 1758.82,0,7,1758.81,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.533,36,36,0,7,1758.81,1,2
9983, 1759, 0, 111.402, 333.703, 216.921, 0.0216944, -0.0664706, -0.0123515, 1.87881, 0.341853, 0.450717, 5.47163e-05, 0.777012, 0.308248, 0, 1758.81, 0, 0, 0, 123, 1758.82,0,7,1758.81,0,0,0,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.533,36,36,0,7,1758.81,1,2
